연번,시도,시군구,선별진료소,전화번호,검체가능,위도,경도
133,인천,남동구,남동구보건소,032-466-3808,Y,,
134,인천,동구,의료법인성수의료재단인천백병원,032-765-7070,Y,,
135,인천,동구,동구보건소,032-770-5700,Y,,
136,인천,미추홀구,현대유비스 병원,032-890-5509,Y,,
137,인천,미추홀구,미추홀구보건소,032-880-5311,Y,,
138,인천,미추홀구,인천사랑병원,032-457-2000,Y,,
139,인천,부평구,가톨릭대학교 인천성모병원,1544-9004,Y,,
140,인천,부평구,부평세림병원,032-524-0591,Y,,
141,인천,부평구,근로복지공단 인천병원,032-500-0114,Y,,
142,인천,부평구,부평구보건소,032-509-8200,Y,,
143,인천,서구,국제성모병원,1600-8291,Y,,
144,인천,서구,나은병원,032-584-0114,Y,,
145,인천,서구,성민병원,032-726-1119,Y,,
146,인천,서구,검단탑병원,032-590-0114,Y,,
147,인천,서구,온누리병원,032-568-9111,Y,,
148,인천,서구,서구보건소,032-560-5000,Y,,
149,인천,연수구,나사렛 국제병원,032-899-9999,Y,,
150,인천,연수구,연수구보건소,032-749-8000,Y,,
151,인천,연수구,인천적십자병원,032-899-4287,Y,,
152,인천,옹진군,옹진군보건소,032-899-3130,Y,,
153,인천,옹진군,백령병원,032-836-1733,Y,,
154,인천,중구,인천기독병원,032-270-8000,Y,,
155,인천,중구,중구보건소,032-760-6050,Y,,
156,인천,중구,영종보건지소,032-760-6800,Y,,
157,광주,광산구,광산구보건소,062-960-8859,Y,,
158,광주,광산구,첨단종합병원,"주 062-601-8771
야 062-601-8119",Y,,
159,광주,광산구,KS병원,062-975-9119,Y,,
160,광주,남구,광주기독병원,062-650-5119,Y,,
161,광주,남구,남구보건소,062-607-4450,Y,,
162,광주,동구,동구보건소,062-608-3312,Y,,
163,광주,북구,광주일곡병원,062-608-7119,N,,
164,광주,북구,북구보건소,062-410-8961,Y,,
165,광주,서구,서광병원,"062-600-8119, 8161",Y,,
166,광주,서구,서구보건소,062-350-4158,Y,,
167,대전,대덕구,대덕구보건소,042-608-5436~40,Y,,
168,대전,대덕구,대전보훈병원,"042-939-0118, 0100",Y,,
169,대전,대덕구,근로복지공단 대전병원,"(주간) 042-670-5406
(야간) 042-670-5119",Y,,
170,대전,동구,동구보건소,042-251-6305,Y,,
171,대전,동구,대전한국병원,042-606-1500,Y,,
172,대전,서구,서구보건소,042-288-4500,Y,,
173,대전,서구,건양대학교병원,042-600-9999,Y,,
174,대전,서구,을지대학교병원,042-259-1060,Y,,
175,대전,유성구,유성구보건소,042-611-5047,Y,,
176,대전,유성구,유성선병원,042-609-1000,Y,,
177,대전,중구,중구보건소,042-288-8043,Y,,
178,대전,중구,대전선병원,042-220-8114,Y,,
179,대전,중구,대전성모병원,042-220-9114,Y,,
180,울산,남구,울산병원,052-259-5000,Y,,
181,울산,남구,좋은삼정병원,052-220-7500,Y,,
182,울산,남구,"의)정안의료재단
중앙병원",052-226-1100,Y,,
183,울산,남구,남구보건소,052-226-2805,Y,,
184,울산,동구,동구보건소,052-209-4080,Y,,
185,울산,북구,울산시티병원,052-280-9000,Y,,
186,울산,북구,북구보건소,052-289-3450,Y,,
187,울산,울주군,서울산보람병원,052-255-7114,Y,,
188,울산,울주군,울주군보건소,052-265-9095,Y,,
189,울산,중구,동강병원,052-241-1114,Y,,
190,울산,중구,중구보건소,052-290-4300,Y,,
191,세종,"",세종특별자치시보건소,044-301-2841~5,Y,,
192,세종,"",세종특별자치시보건소(충남대학교병원세종의원),044-301-2841~5,Y,,
193,경기,가평군,가평군보건소,031-582-2488,Y,,
194,경기,가평군,HJ매그놀리아국제병원,031-589-4300,Y,,
195,경기,고양시,덕양구 보건소,031-8075-4059,Y,,
196,경기,고양시,일산동구보건소,031-8075-4135,Y,,
197,경기,고양시,일산서구보건소,031-8075-4212,Y,,
198,경기,고양시,인제대학교 일산백병원,031-910-7297,Y,,
199,경기,고양시,동국대학교일산불교병원,1577-7000,Y,,
200,경기,고양시,국민건강보험공단 일산병원,031-900-0114,Y,,
201,경기,고양시,일산복음병원,031-929-0422,Y,,
202,경기,과천시,과천시보건소,02-2150-3832,Y,,
203,경기,광명시,광명성애병원,02-2680-7115,N,,
204,경기,광명시,광명시보건소,02-2680-2577 ,Y,,
205,경기,광주시,광주시보건소,031-760-2359,Y,,
206,경기,광주시,참조은병원,031-881-9285,N,,
207,경기,구리시,구리시보건소,031-550-8618,Y,,
208,경기,구리시,한양대학교구리병원,1644-9118,Y,,
209,경기,군포시,효산의료재단 지샘병원,031-389-3000,Y,,
210,경기,군포시,원광대학교 산본병원,031-390-2300,Y,,
211,경기,군포시,군포시보건소,031-461-5464,Y,,
212,경기,김포시,김포우리병원,031-999-1000,Y,,
213,경기,김포시,뉴고려병원,031-998-8129,Y,,
214,경기,김포시,김포시보건소,031-5186-4051,Y,,
215,경기,남양주시,남양주보건소,031-590-0960,Y,,
216,경기,남양주시,남양주풍양보건소,"031-590-5371, 4059",Y,,
217,경기,남양주시,남양주보건소 동부보건센터,031-590-8515,Y,,
218,경기,남양주시,남양주한양병원,"031-510-0114, 031-510-0119",Y,,
219,경기,남양주시,현대병원,031-574-9118,Y,,
220,경기,동두천시,동두천보건소,031-860-3395,Y,,
221,경기,부천시,부천시보건소,032-625-4125,Y,,
222,경기,부천시,부천시 오정보건소,032-625-8881,N,,
223,경기,부천시,순천향대학교 부천병원,032-621-5114,Y,,
224,경기,부천시,가톨릭대학교부천성모병원,032-340-2402,Y,,
225,경기,부천시,부천세종병원,(주간) 032-340-1897 (야간) 032-340-1119,Y,,
226,경기,성남시 분당구,성남시분당구보건소,031-729-4004,Y,,
227,경기,성남시 중원구,중원구보건소,031-729-3895,Y,,
228,경기,성남시 분당구,분당제생병원,031-779-0100,Y,,
229,경기,성남시 분당구,분당차병원,031-780-5546,Y,,
230,경기,성남시 수정구,수정구보건소,031-729-3870,Y,,
231,경기,성남시 수정구,성남시의료원,031-738-7000,Y,,
232,경기,성남시 수정구,순천의료재단정병원,031-750-6000,Y,,
233,경기,성남시 중원구,성남중앙병원,031-799-5366,Y,,
234,경기,수원시 권선구,권선구보건소,031-228-6716,Y,,
235,경기,수원시 영통구,영통구보건소,031-228-8808,Y,,
236,경기,수원시 장안구,장안구보건소,031-228-5715,Y,,
237,경기,수원시 팔달구,팔달구보건소,031-228-7716,Y,,
238,경기,수원시 영통구,아주대학교병원,031-219-5114,Y,,
239,경기,수원시 장안구,경기도의료원 수원병원,"031-888-0119, 031-888-0129",Y,,
240,경기,수원시 팔달구,성빈센트병원,1577-8588,Y,,
241,경기,수원시 팔달구,동수원병원,031-210-0114,Y,,
242,경기,시흥시,석경의료재단 센트럴병원,031-8041-3530,Y,,
243,경기,시흥시,신천연합병원,031-310-6300,Y,,
244,경기,시흥시,시흥시화병원,031-432-2600,Y,,
245,경기,시흥시,시흥시보건소,031-310-5813,Y,,
246,경기,시흥시,시흥시 정왕보건지소,031-310-5907,Y,,
247,경기,안산시 단원구,단원보건소,031-481-6363,Y,,
248,경기,안산시 상록구,안산시상록수보건소,031-481-5894,Y,,
249,경기,안산시 단원구,고대안산병원,031-412-5400,Y,,
250,경기,안산시 단원구,한도병원,031-8040-1369,Y,,
251,경기,안산시 상록구,근로복지공단안산병원,031-500-1114,Y,,
252,경기,안성시,경기도의료원 안성병원,031-8046-5000,Y,,
253,경기,안성시,안성성모병원,031-675-6007,Y,,
254,경기,안성시,안성시보건소,031-678-5710,Y,,
255,경기,안양시 동안구,동안구보건소,031-8045-4472,Y,,
256,경기,안양시 만안구,만안구보건소,031-8045-3472,Y,,
257,경기,안양시 동안구,한림대학교 성심병원,031-380-1500,Y,,
258,경기,안양시 만안구,안양샘병원,031-467-9119,Y,,
259,경기,양주시,양주시보건소,"031-8082-7094
031-8082-7120
031-8082-7130
031-8082-7144",Y,,
260,경기,양평군,양평군보건소,031-770-3490,Y,,
261,경기,양평군,양평병원,031-770-5119,Y,,
262,경기,여주시,세종여주병원,031-880-7700,N,,
263,경기,여주시,여주시보건소,031-887-3601,Y,,
264,경기,연천군,연천군 보건의료원,031-839-4064,Y,,
265,경기,오산시,오산시보건소,031-8036-6025,Y,,
266,경기,오산시,오산한국병원,031-379-8300,Y,,
267,경기,용인시,기흥구보건소,031-324-6975,Y,,
268,경기,용인시,수지구보건소,"031-324-8451, 8452, 8453",Y,,
269,경기,용인시,강남병원,031-300-0380/0589,Y,,
270,경기,용인시,처인구보건소,031-324-2114,Y,,
271,경기,용인시,영문의료재단 다보스병원,031-8021-2000,Y,,
272,경기,용인시,용인세브란스병원,031-5189-9010,Y,,
273,경기,용인시,용인서울병원,031-322-0001,Y,,
274,경기,의왕시,의왕시보건소,031-345-3572,Y,,
275,경기,의왕시,아가페의료재단 시티병원,031-340-2555,Y,,
276,경기,의정부시,경기도의료원의정부병원 (응급실),031-828-5143,Y,,
277,경기,의정부시,의정부시보건소,031-870-6011~4,N,,
278,경기,의정부시,가톨릭대학교 의정부성모병원,1661-7500,Y,,
279,경기,의정부시,추병원,031-823-8063,Y,,
280,경기,의정부시,의정부백병원,031-842-1211,Y,,
281,경기,이천시,경기도의료원 이천병원,031-630-4200,Y,,
282,경기,이천시,이천시보건소,031-635-2400,Y,,
283,경기,파주시,파주시보건소,031-940-4800,Y,,
284,경기,파주시,경기도의료원 파주병원,031-940-9100,Y,,
285,경기,파주시,메디인병원,031-943-1191,Y,,
286,경기,평택시,의료법인 백송의료재단 굿모닝병원,031-5182-7700,Y,,
287,경기,평택시,의료법인 박애의료재단 박애병원,031-652-2121,Y,,
288,경기,평택시,의료법인 양진의료재단 평택성모병원,1800-8800,Y,,
289,경기,평택시,평택보건소,031-8024-5559,Y,,
290,경기,평택시,박병원,031-666-2600,Y,,
291,경기,평택시,송탄보건소,031-8024-7236,Y,,
292,경기,포천시,포천시보건소,031-538-3600,Y,,
293,경기,포천시,경기도의료원 포천병원,031-539-9114,Y,,
294,경기,포천시,소흘보건지소,031-538-4486,Y,,
295,경기,하남시,하남시보건소,031-790-6555,Y,,
296,경기,화성시,화성중앙종합병원,031-371-8080,Y,,
297,경기,화성시,화성시보건소,031-5189-1200,Y,,
298,경기,화성시,화성시보건소 동탄보건지소,031-5189-1200,Y,,
299,경기,화성시,동탄성심병원,1522-2500,Y,,
300,경기,화성시,원광종합병원,031-8077-7219,Y,,
301,경기,화성시,남양디에스병원,031-5180-7777,Y,,
302,강원,강릉시,강릉아산병원,033-610-4111,Y,,
303,강원,강릉시,강릉동인병원,033-651-6161,Y,,
304,강원,강릉시,강릉고려병원,033-649-0333,Y,,
305,강원,강릉시,강릉시보건소,033-660-3050,Y,,
306,강원,고성군,고성군보건소,033-681-4000,Y,,
307,강원,동해시,동해시보건소,033-530-2402,Y,,
308,강원,동해시,동해동인병원,033-530-0119,Y,,
309,강원,동해시,근로복지공단 동해병원,033-530-3119,Y,,
310,강원,삼척시,삼척의료원,"(주간) 033-570-7545
(야간) 033-570-7431",Y,,
311,강원,삼척시,삼척시보건소,033-570-4649,Y,,
312,강원,속초시,속초시보건소,033-639-2924,Y,,
313,강원,속초시,강원도속초의료원,"(주간) 033-630-6190
(야간) 033-630-6122",Y,,
314,강원,속초시,속초보광병원,"(주간) 033-639-8557
(야간) 033-639-8988",Y,,
315,강원,양구군,양구군보건소,"(주간) 033-480-2791
(야간) 033-480-2550",Y,,
316,강원,양구군,의료법인 성심의료재단 양구성심병원,033-480-8800,Y,,
317,강원,양양군,양양군보건소,"(주간) 033-670-2119
(야간) 033-670-2880",Y,,
318,강원,영월군,강원도영월의료원,033-370-9129,Y,,
319,강원,영월군,영월군보건소,033-370-2448,Y,,
320,강원,원주시,연세대학교 원주세브란스기독병원,033-741-1641,Y,,
321,강원,원주시,원주시보건소,033-737-4065,Y,,
322,강원,원주시,강원도원주의료원,033-760-4701~2,Y,,
323,강원,인제군,인제군보건소,"(주간) 033-460-2516
(야간) 033-461-2425",Y,,
324,강원,정선군,근로복지공단정선병원,033-560-7110,Y,,
325,강원,정선군,정선군보건소,033-560-2739,Y,,
326,강원,철원군,철원군보건소,"033-450-5550, 5468",Y,,
327,강원,철원군,철원병원,033-450-3321,Y,,
328,강원,춘천시,한림대학교 춘천성심병원,"(주간) 033-240-5815
(야간) 033-240-5219",Y,,
329,강원,춘천시,춘천시보건소,"033-250-4688,
033-250-4597",Y,,
330,강원,태백시,태백시보건소,"(주간) 033-550-2718
(야간) 033-552-4000",Y,,
331,강원,태백시,근로복지공단 태백병원,"(주간) 033-581-6390
(야간) 033-580-3119",Y,,
332,강원,평창군,평창군보건의료원,"(주간) 033-330-4877
(야간) 033-330-4800",Y,,
333,강원,홍천군,홍천아산병원,033-430-5119,Y,,
334,강원,홍천군,홍천군보건소,033-430-4024,Y,,
335,강원,화천군,화천군보건의료원,033-442-4424,Y,,
336,강원,횡성군,횡성대성병원,033-343-0901,Y,,
337,강원,횡성군,횡성군보건소,033-340-5707,Y,,
338,충북,괴산군,괴산군보건소,043-832-4000,Y,,
339,충북,괴산군,괴산성모병원,043-830-5400,Y,,
340,충북,단양군,단양군보건소,043-420-3263,Y,,
341,충북,단양군,단양군립노인요양병원,043-423-8844,Y,,
342,충북,보은군,(의료법인)정민의료재단 보은한양병원,043-544-1500,Y,,
343,충북,보은군,보은군보건소,043-540-5601,Y,,
344,충북,영동군,영동병원,043-740-9000,Y,,
345,충북,영동군,영동군보건소,043-740-5612,Y,,
346,충북,옥천군,옥천성모병원,043-730-7000,Y,,
347,충북,옥천군,옥천군보건소,043-730-2114,Y,,
348,충북,음성군,음성군보건소,043-872-2136,Y,,
349,충북,음성군,금왕태성병원,043-883-8800,Y,,
350,충북,제천시,제천 서울병원,043-642-7609,Y,,
351,충북,제천시,제천시보건소,043-646-2720,Y,,
352,충북,제천시,명지병원(제천),043-640-8373,Y,,
353,충북,증평군,증평군보건소,043-835-4220,Y,,
354,충북,진천군,진천성모병원,043-533-1711,Y,,
355,충북,진천군,진천군보건소,043-539-7333,Y,,
356,충북,청주시,상당보건소,043-201-3143,Y,,
357,충북,청주시,의료법인 인화재단한국병원,043-222-7000,Y,,
358,충북,청주시,의료법인정산의료재단효성병원,043-221-5000,Y,,
359,충북,청주시,서원보건소,043-201-3207,Y,,
360,충북,청주시,충청북도 청주의료원,043-279-2300,Y,,
361,충북,청주시,청주성모병원,043-219-8000,Y,,
362,충북,청주시,청원보건소,043-201-3442,Y,,
363,충북,청주시,흥덕보건소,043-201-3342,Y,,
364,충북,청주시,한마음의료재단 하나병원,043-230-6326,Y,,
365,충북,청주시,베스티안병원,043-910-7575,Y,,
366,충북,충주시,충주시보건소,043-850-3431 ,Y,,
367,충북,충주시,충청북도 충주의료원,043-871-0114,Y,,
368,충북,충주시,건국대학교 충주병원,043-840-8200,Y,,
369,충남,계룡시,계룡시보건소,042-840-3507,Y,,
370,충남,공주시,충청남도공주의료원,041-962-1111,Y,,
371,충남,공주시,공주시 보건소,041-840-2524,Y,,
372,충남,금산군,새금산병원,041-754-8272,Y,,
373,충남,금산군,금산군보건소,041-750-4311,Y,,
374,충남,논산시,백제종합병원,041-733-2191,Y,,
375,충남,논산시,논산시보건소,041-730-4086~7,Y,,
376,충남,당진시,당진종합병원,041-357-0100,Y,,
377,충남,당진시,당진시보건소,041-360-6003,Y,,
378,충남,보령시,보령시보건소,041-930-0900,Y,,
379,충남,보령시,보령아산병원,041-930-5333,Y,,
380,충남,부여군,건양대학교 부여병원,041-837-1200,Y,,
381,충남,부여군,부여군보건소,041-830-8600,Y,,
382,충남,부여군,성요셉연합의원,041-835-7582,Y,,
383,충남,서산시,충청남도서산의료원,041-689-7000,Y,,
384,충남,서산시,서산시보건소,041-661-8232,Y,,
385,충남,서천군,서해병원,041-951-8282,Y,,
386,충남,서천군,서천군보건소,041-950-6750,Y,,
387,충남,아산시,아산충무병원,041-536-6666,Y,,
388,충남,아산시,아산시보건소,041-537-3311,Y,,
389,충남,아산시,현대병원,041-546-3636,Y,,
390,충남,예산군,의료법인 예당의료재단 예산종합병원,041-330-4000,Y,,
391,충남,예산군,예산군보건소,041-339-6062,Y,,
392,충남,천안시,천안시 동남구보건소,041-521-2651,Y,,
393,충남,천안시,학교법인동은학원 순천향대학교 부속천안병원,1577-7523,Y,,
394,충남,천안시,의료법인영서의료재단 천안충무병원,041-570-7555,Y,,
395,충남,천안시,충청남도천안의료원(소아청소년과 없음),041-570-7033,Y,,
396,충남,천안시,천안우리병원,041-590-9000,Y,,
397,충남,청양군,청양군보건의료원,041-942-3401,Y,,
398,충남,태안군,태안군보건의료원,041-671-5315,Y,,
399,충남,홍성군,충청남도 홍성의료원,041-630-6114,Y,,
400,충남,홍성군,홍성군보건소,041-632-2588,Y,,
401,전북,고창군,고창군보건소,063-560-8711,Y,,
402,전북,고창군,(의)석천재단고창병원,063-560-5600,Y,,
403,전북,군산시,군산시보건소,063-460-3200,Y,,
404,전북,군산시,군산의료원,063-472-5000,Y,,
405,전북,군산시,동군산병원,063-440-0516,Y,,
406,전북,김제시,김제시보건소,063-540-1300,Y,,
407,전북,남원시,남원의료원,063-620-1114,Y,,
408,전북,남원시,남원시보건소,063-625-4000,Y,,
409,전북,무주군,무주군보건의료원,063-320-8314,Y,,
410,전북,부안군,부안군보건소,063-584-1261,Y,,
411,전북,부안군,부안성모병원,063-581-5100,Y,,
412,전북,순창군,순창군보건의료원,063-650-5352,Y,,
413,전북,완주군,완주군보건소,063-290-3133,Y,,
414,전북,익산시,익산병원,063-840-9112,Y,,
415,전북,익산시,익산시보건소,063-859-4811,Y,,
416,전북,임실군,임실군보건의료원,063-640-3119,Y,,
417,전북,장수군,장수군보건의료원,063-350-2119,Y,,
418,전북,전주시,예수병원,063-230-8282,Y,,
419,전북,전주시,대자인병원,063-250-8703,Y,,
420,전북,전주시,전주병원,063-220-7280,Y,,
421,전북,전주시,전주시보건소(덕진진료실),063-250-3907,Y,,
422,전북,전주시,호성전주병원,063-240-8894,Y,,
423,전북,정읍시,정읍아산병원,063-530-6000,Y,,
424,전북,정읍시,정읍시보건소,063-539-6112,Y,,
425,전북,진안군,진안군보건소,063-430-8560,Y,,
426,전북,진안군,진안군의료원,063-430-7119,Y,,
427,전남,강진군,강진의료원,061-433-2167,Y,,
428,전남,강진군,강진군보건소,061-430-3592,Y,,
429,전남,고흥군,고흥종합병원,061-835-6000,Y,,
430,전남,고흥군,고흥군보건소,061-830-6688,Y,,
431,전남,고흥군,녹동현대병원,061-840-1200,Y,,
432,전남,곡성군,곡성사랑병원,061-360-6008,Y,,
433,전남,곡성군,곡성군보건의료원,061-360-7563,Y,,
434,전남,광양시,광양사랑병원,061-797-7000,Y,,
435,전남,광양시,광양시보건소,061-797-4015,Y,,
436,전남,구례군,구례병원,061-780-3300,Y,,
437,전남,구례군,구례군보건의료원,061-780-2673,Y,,
438,전남,나주시,나주종합병원,061-330-6114,N,,
439,전남,나주시,나주시보건소,061-339-2164,Y,,
440,전남,담양군,담양사랑병원,061-380-9000,Y,,
441,전남,담양군,담양군보건소,061-380-3972,Y,,
442,전남,목포시,목포한국병원,061-270-5800,Y,,
443,전남,목포시,목포기독병원,061-280-7500,Y,,
444,전남,목포시,목포중앙병원,061-280-3000,Y,,
445,전남,목포시,목포시의료원,061-260-6500,Y,,
446,전남,목포시,세안종합병원,061-260-6713,Y,,
447,전남,목포시,전남중앙병원,061-260-3555,Y,,
448,전남,목포시,목포시보건소,061-277-4000,Y,,
449,전남,무안군,대송의료재단 무안병원,061-450-3111,Y,,
450,전남,무안군,무안군보건소,061-450-5021,Y,,
